74–76,Item can create deeper darkness 3/day,"+16,000 gp",,,,
77–80,Item can use invisibility purge (30 ft. range) 3/day,"+16,000 gp",,,,
81–85,Item can use slow on its enemies 3/day,"+16,000 gp",,,,
86–91,Item can locate creature 3/day,"+30,000 gp",,,,
91–97,Item can use fear against foes 3/day,"+30,000 gp",,,,
98–100,Item can use detect thoughts at will,"+44,000 gp",,,,
,,,,,,
Intelligent Item Purpose,,,,,,
d% Range,Purpose,Notes,,,,
01–20,Defeat/slay diametrically opposed alignment,"* Neutral (N) version: preserve balance by defeating/slaying powerful beings of extreme alignments (LG, LE, CG, CE).",,,,
21–30,Defeat/slay arcane spellcasters (incl. spellcasting monsters and those with spell-like abilities),,,,,
31–40,Defeat/slay divine spellcasters (incl. divine entities and servitors),,,,,
41–50,Defeat/slay nonspellcasters,,,,,
51–55,Defeat/slay a particular creature type (see bane options),,,,,
56–60,Defeat/slay a particular race or kind of creature,,,,,
61–70,Defend a particular race or kind of creature,,,,,
71–80,Defeat/slay the servants of a specific deity,,,,,
81–90,Defend the servants and interests of a specific deity,,,,,
91–95,Defeat/slay all (other than the item and the wielder),,,,,
96–100,DM’s or character’s choice,,,,,
,,,,,,
Intelligent Item Dedicated Powers,,,,,,
d% Range,Dedicated Power,Base Price Modifier,,,,
01–06,Item can use ice storm,"+50,000 gp",,,,
07–12,Item can use confusion,"+50,000 gp",,,,
13–17,Item can use phantasmal killer,"+50,000 gp",,,,
18–24,Item can use crushing despair,"+50,000 gp",,,,
25–31,Item can use dimension door on itself and wielder,"+50,000 gp",,,,
32–36,Item can use contagion (heightened to 4th level) as touch attack,"+56,000 gp",,,,
37–43,Item can use poison (heightened to 4th level) as touch attack,"+56,000 gp",,,,
44–50,Item can use rusting grasp as touch attack,"+56,000 gp",,,,
51–56,Item can cast 10d6 lightning bolt,"+60,000 gp",,,,
57–62,Item can cast 10d6 fireball,"+60,000 gp",,,,
63–68,"Wielder gets +2 luck bonus on attacks, saves, and checks","+80,000 gp",,,,
69–74,Item can use mass inflict light wounds,"+81,000 gp",,,,
75–81,Item can use song of discord,"+81,000 gp",,,,
82–87,Item can use prying eyes,"+81,000 gp",,,,
88–92,Item can cast 15d6 greater shout 3/day,"+130,000 gp",,,,
93–98,Item can use waves of exhaustion,"+164,000 gp",,,,
99–100,"Item can use true resurrection on wielder, once per month","+200,000 gp",,,,
,,,,,,
Intelligent Ego,,,,,,
Attribute of Item,Ego Points,,,,,
Each +1 of item’s enhancement bonus,1,,,,,
Each +1 of bonus for special abilities,1,,,,,
Each lesser power,1,,,,,
Each greater power,2,,,,,
Special purpose (and dedicated power),4,,,,,
Telepathic ability,1,,,,,
Read languages ability,1,,,,,
Read magic ability,1,,,,,
Each +1 of Intelligence bonus,1,,,,,
Each +1 of Wisdom bonus,1,,,,,
Each +1 of Charisma bonus,1,,,,,
