36–39,"Item continually emits a disturbing sound (moaning, weeping, screaming, cursing, insults)",Continuous while possessed,
40,"Item looks ridiculous (garish colors, silly shape, bright pink glow, etc.)",Continuous while possessed,
41–45,Character becomes selfishly possessive about the item,Continuous while possessed,
46–49,Character becomes paranoid about losing/damaging the item,Continuous while possessed,
50–51,Character’s alignment changes,Continuous while possessed,
52–54,Must attack nearest creature (5% chance [01–05 on d%] each day),"Daily check; on success, forced attack",
55–57,"Character is stunned for 1d4 rounds once item function ends (or randomly, 1/day)",Per use or daily,
58–60,"Vision blurry (–2 on attacks, saves, and skill checks requiring vision)",Continuous while possessed,
61–64,Character gains one negative level,Continuous while possessed,
65,Character gains two negative levels,Continuous while possessed,
66–70,Daily Will save or take 1 Int damage,Daily save,
71–75,Daily Will save or take 1 Wis damage,Daily save,
76–80,Daily Will save or take 1 Cha damage,Daily save,
81–85,Daily Fort save or take 1 Con damage,Daily save,
86–90,Daily Fort save or take 1 Str damage,Daily save,
91–95,Daily Fort save or take 1 Dex damage,Daily save,
96,Polymorphed into a specific creature (5% chance [01–05 on d%] each day),"Daily check; on success, polymorph",
97,Cannot cast arcane spells,Continuous while possessed,
98,Cannot cast divine spells,Continuous while possessed,
99,Cannot cast any spells,Continuous while possessed,
100,DM picks/creates a drawback appropriate to the item,DM’s choice,
